0.285714 0.244898   0.590959
0.285714 0.346939   0.568303
0.285714 0.44898   0.556701
0.285714 0.55102   0.55573
0.285714 0.653061   0.564803
0.285714 0.755102   0.583254
0.285714 0.857143   0.610424
0.285714 0.959184   0.645728
0.285714 1.06122   0.688715
0.285714 1.16327   0.739101
0.285714 1.26531   0.796781
0.285714 1.36735   0.861819
0.285714 1.46939   0.934419
0.285714 1.57143   1.01488
0.285714 1.67347   1.10353
0.285714 1.77551   1.20069
0.285714 1.87755   1.30657
0.285714 1.97959   1.42125
0.285714 2.08163   1.54463
0.285714 2.18367   1.67638
0.285714 2.28571   1.81593
0.285714 2.38776   1.96247
0.285714 2.4898   2.11499
0.285714 2.59184   2.27226
0.285714 2.69388   2.43292
0.285714 2.79592   2.59549
0.285714 2.89796   2.75844
0.285714 3   2.92026

0.428571 -2   1.92031
0.428571 -1.89796   1.88742
0.428571 -1.79592   1.85989
0.428571 -1.69388   1.83569
0.428571 -1.59184   1.81277
0.428571 -1.4898   1.78919
0.428571 -1.38776   1.76324
0.428571 -1.28571   1.73351
0.428571 -1.18367   1.69901
0.428571 -1.08163   1.65917
0.428571 -0.979592   1.61393
0.428571 -0.877551   1.56367
0.428571 -0.77551   1.50917
0.428571 -0.673469   1.45159
0.428571 -0.571429   1.39233
0.428571 -0.469388   1.33295
0.428571 -0.367347   1.27503
0.428571 -0.265306   1.22014
0.428571 -0.163265   1.16965
0.428571 -0.0612245   1.12473
0.428571 0.0408163   1.08626
0.428571 0.142857   1.05483
0.428571 0.244898   1.03074
0.428571 0.346939   1.01402
0.428571 0.44898   1.00448
0.428571 0.55102   1.00181
0.428571 0.653061   1.0056
0.428571 0.755102   1.01548
0.428571 0.857143   1.03113
0.428571 0.959184   1.05235
0.428571 1.06122   1.07914
0.428571 1.16327   1.11166
0.428571 1.26531   1.15025
0.428571 1.36735   1.1954
0.428571 1.46939   1.24773
0.428571 1.57143   1.30788
0.428571 1.67347   1.3765
0.428571 1.77551   1.45415
0.428571 1.87755   1.54126
0.428571 1.97959   1.63804
0.428571 2.08163   1.74448
0.428571 2.18367   1.86031
0.428571 2.28571   1.98496
0.428571 2.38776   2.11761
0.428571 2.4898   2.2572
0.428571 2.59184   2.40245
0.428571 2.69388   2.55192
0.428571 2.79592   2.70408
0.428571 2.89796   2.85734
0.428571 3   3.0101

0.571429 -2   1.99851
0.571429 -1.89796   1.97137
0.571429 -1.79592   1.95139
0.571429 -1.69388   1.93677
0.571429 -1.59184   1.92569
0.571429 -1.4898   1.91634
0.571429 -1.38776   1.90711
0.571429 -1.28571   1.89658
0.571429 -1.18367   1.88367
0.571429 -1.08163   1.86764
0.571429 -0.979592   1.84814
0.571429 -0.877551   1.82517
0.571429 -0.77551   1.79908
0.571429 -0.673469   1.7705
0.571429 -0.571429   1.74025
0.571429 -0.469388   1.70931
0.571429 -0.367347   1.67865
0.571429 -0.265306   1.64922
0.571429 -0.163265   1.62187
0.571429 -0.0612245   1.59725
0.571429 0.0408163   1.57583
0.571429 0.142857   1.55787
0.571429 0.244898   1.54344
0.571429 0.346939   1.53247
0.571429 0.44898   1.52476
0.571429 0.55102   1.52009
0.571429 0.653061   1.51827
0.571429 0.755102   1.51919
0.571429 0.857143   1.52289
0.571429 0.959184   1.52958
0.571429 1.06122   1.53968
0.571429 1.16327   1.55379
0.571429 1.26531   1.57271
0.571429 1.36735   1.59733
0.571429 1.46939   1.62866
0.571429 1.57143   1.66768
0.571429 1.67347   1.71533
0.571429 1.77551   1.77241
0.571429 1.87755   1.83951
0.571429 1.97959   1.917
0.571429 2.08163   2.00493
0.571429 2.18367   2.10307
0.571429 2.28571   2.21088
0.571429 2.38776   2.32751
0.571429 2.4898   2.45186
0.571429 2.59184   2.58263
0.571429 2.69388   2.71833
0.571429 2.79592   2.85738
0.571429 2.89796   2.99816
0.571429 3   3.13903

0.714286 -2   2.15471
0.714286 -1.89796   2.13309
0.714286 -1.79592   2.12
0.714286 -1.69388   2.11396
0.714286 -1.59184   2.11339
0.714286 -1.4898   2.11671
0.714286 -1.38776   2.12242
0.714286 -1.28571   2.12919
0.714286 -1.18367   2.13587
0.714286 -1.08163   2.14162
0.714286 -0.979592   2.14583
0.714286 -0.877551   2.14818
0.714286 -0.77551   2.14861
0.714286 -0.673469   2.14725
0.714286 -0.571429   2.14438
0.714286 -0.469388   2.14036
0.714286 -0.367347   2.1356
0.714286 -0.265306   2.13045
0.714286 -0.163265   2.1252
0.714286 -0.0612245   2.12
0.714286 0.0408163   2.11492
0.714286 0.142857   2.10987
0.714286 0.244898   2.10471
0.714286 0.346939   2.09924
0.714286 0.44898   2.09326
0.714286 0.55102   2.08666
0.714286 0.653061   2.07942
0.714286 0.755102   2.0717
0.714286 0.857143   2.06389
0.714286 0.959184   2.05657
0.714286 1.06122   2.05057
0.714286 1.16327   2.04692
0.714286 1.26531   2.04679
0.714286 1.36735   2.05149
0.714286 1.46939   2.06235
0.714286 1.57143   2.08066
0.714286 1.67347   2.10762
0.714286 1.77551   2.14422
0.714286 1.87755   2.19121
0.714286 1.97959   2.24906
0.714286 2.08163   2.31788
0.714286 2.18367   2.39748
0.714286 2.28571   2.48732
0.714286 2.38776   2.58655
0.714286 2.4898   2.69405
0.714286 2.59184   2.80849
0.714286 2.69388   2.92837
0.714286 2.79592   3.05208
0.714286 2.89796   3.17802
0.714286 3   3.30455

0.857143 -2   2.38434
0.857143 -1.89796   2.36742
0.857143 -1.79592   2.35991
0.857143 -1.69388   2.36066
0.857143 -1.59184   2.36841
0.857143 -1.4898   2.38183
0.857143 -1.38776   2.39962
0.857143 -1.28571   2.42057
0.857143 -1.18367   2.44357
0.857143 -1.08163   2.46769
0.857143 -0.979592   2.49218
0.857143 -0.877551   2.51643
0.857143 -0.77551   2.54002
0.857143 -0.673469   2.56264
0.857143 -0.571429   2.58408
0.857143 -0.469388   2.60414
0.857143 -0.367347   2.62268
0.857143 -0.265306   2.63948
0.857143 -0.163265   2.65431
0.857143 -0.0612245   2.66685
0.857143 0.0408163   2.67676
0.857143 0.142857   2.68364
0.857143 0.244898   2.68712
0.857143 0.346939   2.68689
0.857143 0.44898   2.68275
0.857143 0.55102   2.67464
0.857143 0.653061   2.66274
0.857143 0.755102   2.64745
0.857143 0.857143   2.62944
0.857143 0.959184   2.60965
0.857143 1.06122   2.58926
0.857143 1.16327   2.56965
0.857143 1.26531   2.55236
0.857143 1.36735   2.53901
0.857143 1.46939   2.53122
0.857143 1.57143   2.53054
0.857143 1.67347   2.53834
0.857143 1.77551   2.55578
0.857143 1.87755   2.58371
0.857143 1.97959   2.62267
0.857143 2.08163   2.67284
0.857143 2.18367   2.73401
0.857143 2.28571   2.80567
0.857143 2.38776   2.88695
0.857143 2.4898   2.97674
0.857143 2.59184   3.07369
0.857143 2.69388   3.17634
0.857143 2.79592   3.28309
0.857143 2.89796   3.39236
0.857143 3   3.50258

1 -2   2.67839
1 -1.89796   2.6648
1 -1.79592   2.66096
1 -1.69388   2.66606
1 -1.59184   2.67918
1 -1.4898   2.6993
1 -1.38776   2.7254
1 -1.28571   2.75643
1 -1.18367   2.79139
1 -1.08163   2.82936
1 -0.979592   2.86949
1 -0.877551   2.91099
1 -0.77551   2.95314
1 -0.673469   2.99527
1 -0.571429   3.03674
1 -0.469388   3.07688
1 -0.367347   3.11503
1 -0.265306   3.15049
1 -0.163265   3.18254
1 -0.0612245   3.21043
1 0.0408163   3.23344
1 0.142857   3.2509
1 0.244898   3.26223
1 0.346939   3.267
1 0.44898   3.26497
1 0.55102   3.25618
1 0.653061   3.24092
1 0.755102   3.21981
1 0.857143   3.19375
1 0.959184   3.16397
1 1.06122   3.13193
1 1.16327   3.09931
1 1.26531   3.06792
1 1.36735   3.03961
1 1.46939   3.01621
1 1.57143   2.99944
1 1.67347   2.99082
1 1.77551   2.99157
1 1.87755   3.00263
1 1.97959   3.02455
1 2.08163   3.05753
1 2.18367   3.10136
1 2.28571   3.15553
1 2.38776   3.21917
1 2.4898   3.29119
1 2.59184   3.37027
1 2.69388   3.45498
1 2.79592   3.54378
1 2.89796   3.63517
1 3   3.72768

1.14286 -2   3.02386
1.14286 -1.89796   3.01183
1.14286 -1.79592   3.00927
1.14286 -1.69388   3.01578
1.14286 -1.59184   3.03081
1.14286 -1.4898   3.05368
1.14286 -1.38776   3.08367
1.14286 -1.28571   3.11999
1.14286 -1.18367   3.16182
1.14286 -1.08163   3.20832
1.14286 -0.979592   3.2586
1.14286 -0.877551   3.31181
1.14286 -0.77551   3.36701
1.14286 -0.673469   3.42326
1.14286 -0.571429   3.47958
1.14286 -0.469388   3.53491
1.14286 -0.367347   3.58817
1.14286 -0.265306   3.63825
1.14286 -0.163265   3.684
1.14286 -0.0612245   3.72431
1.14286 0.0408163   3.75815
1.14286 0.142857   3.78456
1.14286 0.244898   3.8028
1.14286 0.346939   3.81234
1.14286 0.44898   3.8129
1.14286 0.55102   3.80455
1.14286 0.653061   3.7877
1.14286 0.755102   3.7631
1.14286 0.857143   3.73185
1.14286 0.959184   3.69537
