 -1.25 0.4  0.568803
 -1.25 0.45  0.485464
 -1.25 0.5  0.442504
 -1.25 0.55  0.44376
 -1.25 0.6  0.489121
 -1.25 0.65  0.574534
 -1.25 0.7  0.69237
 -1.25 0.75  0.832102
 -1.25 0.8  0.981249
 -1.25 0.85  1.12649
 -1.25 0.9  1.25485
 -1.25 0.95  1.35486
 -1.25 1  1.41759
 -1.25 1.05  1.43743
 -1.25 1.1  1.41262
 -1.25 1.15  1.34536
 -1.25 1.2  1.24168
 -1.25 1.25  1.11082

 -1.2 -1.3  1.08698
 -1.2 -1.25  1.23332
 -1.2 -1.2  1.36418
 -1.2 -1.15  1.46786
 -1.2 -1.1  1.53512
 -1.2 -1.05  1.55993
 -1.2 -1  1.54009
 -1.2 -0.95  1.47736
 -1.2 -0.9  1.37735
 -1.2 -0.85  1.24899
 -1.2 -0.8  1.10375
 -1.2 -0.75  0.954602
 -1.2 -0.7  0.81487
 -1.2 -0.65  0.697034
 -1.2 -0.6  0.611621
 -1.2 -0.55  0.56626
 -1.2 -0.5  0.565004
 -1.2 -0.45  0.607964
 -1.2 -0.4  0.691303
 -1.2 -0.35  0.807577
 -1.2 -0.3  0.946399
 -1.2 -0.25  1.09537
 -1.2 -0.2  1.24118
 -1.2 -0.15  1.3708
 -1.2 -0.1  1.47267
 -1.2 -0.05  1.53767
 -1.2 5.41234e-16  1.56
 -1.2 0.05  1.53767
 -1.2 0.1  1.47267
 -1.2 0.15  1.3708
 -1.2 0.2  1.24118
 -1.2 0.25  1.09537
 -1.2 0.3  0.946399
 -1.2 0.35  0.807577
 -1.2 0.4  0.691303
 -1.2 0.45  0.607964
 -1.2 0.5  0.565004
 -1.2 0.55  0.56626
 -1.2 0.6  0.611621
 -1.2 0.65  0.697034
 -1.2 0.7  0.81487
 -1.2 0.75  0.954602
 -1.2 0.8  1.10375
 -1.2 0.85  1.24899
 -1.2 0.9  1.37735
 -1.2 0.95  1.47736
 -1.2 1  1.54009
 -1.2 1.05  1.55993
 -1.2 1.1  1.53512
 -1.2 1.15  1.46786
 -1.2 1.2  1.36418
 -1.2 1.25  1.23332

 -1.15 -1.3  1.20448
 -1.15 -1.25  1.35082
 -1.15 -1.2  1.48168
 -1.15 -1.15  1.58536
 -1.15 -1.1  1.65262
 -1.15 -1.05  1.67743
 -1.15 -1  1.65759
 -1.15 -0.95  1.59486
 -1.15 -0.9  1.49485
 -1.15 -0.85  1.36649
 -1.15 -0.8  1.22125
 -1.15 -0.75  1.0721
 -1.15 -0.7  0.93237
 -1.15 -0.65  0.814534
 -1.15 -0.6  0.729121
 -1.15 -0.55  0.68376
 -1.15 -0.5  0.682504
 -1.15 -0.45  0.725464
 -1.15 -0.4  0.808803
 -1.15 -0.35  0.925077
 -1.15 -0.3  1.0639
 -1.15 -0.25  1.21287
 -1.15 -0.2  1.35868
 -1.15 -0.15  1.4883
 -1.15 -0.1  1.59017
 -1.15 -0.05  1.65517
 -1.15 5.41234e-16  1.6775
 -1.15 0.05  1.65517
 -1.15 0.1  1.59017
 -1.15 0.15  1.4883
 -1.15 0.2  1.35868
 -1.15 0.25  1.21287
 -1.15 0.3  1.0639
 -1.15 0.35  0.925077
 -1.15 0.4  0.808803
 -1.15 0.45  0.725464
 -1.15 0.5  0.682504
 -1.15 0.55  0.68376
 -1.15 0.6  0.729121
 -1.15 0.65  0.814534
 -1.15 0.7  0.93237
 -1.15 0.75  1.0721
 -1.15 0.8  1.22125
 -1.15 0.85  1.36649
